internal_item_id,一般管理用名称,教材表示名,品目グループ,確認ポイント,handling_safety,safety_note,selection_status,表示順
I001,ペットボトル,ペットボトル,容器包装,キャップ・ラベルを外すか／洗うか,EMPTY_CLEAN_ONLY,中身を空にして洗浄・乾燥した物だけを使用,CONFIRMED_V1,1
I002,ペットボトルのキャップ,キャップ,容器包装,本体と分けるか／材質条件,EMPTY_CLEAN_ONLY,洗浄・乾燥した物だけを使用,CONFIRMED_V1,2
I003,ペットボトルのラベル,ラベル,容器包装,本体と分けるか／汚れ,EMPTY_CLEAN_ONLY,洗浄・乾燥した物だけを使用,CONFIRMED_V1,3
I004,アルミ缶,アルミ缶,容器包装,すすぐか／つぶすか,EMPTY_CLEAN_ONLY,中身を空にして洗浄・乾燥した物だけを使用,CONFIRMED_V1,4
I005,スチール缶,スチール缶,容器包装,すすぐか／つぶすか,EMPTY_CLEAN_ONLY,中身を空にして洗浄・乾燥した物だけを使用,CONFIRMED_V1,5
I006,ガラスびん,びん,容器包装,色分け／キャップ／割れ・汚れ,EMPTY_CLEAN_ONLY,割れていない洗浄・乾燥済みの物だけを使用,CONFIRMED_V1,6
I007,白色食品トレー,白いトレー,容器包装,色・材質／洗浄できるか,EMPTY_CLEAN_ONLY,洗浄・乾燥した物だけを使用,CONFIRMED_V1,7
I008,色柄食品トレー,色のトレー,容器包装,色・材質／洗浄できるか,EMPTY_CLEAN_ONLY,洗浄・乾燥した物だけを使用,CONFIRMED_V1,8
I009,弁当容器,弁当の容器,容器包装,プラマーク／汚れが落ちるか,EMPTY_CLEAN_ONLY,食品残渣を除き洗浄・乾燥した物だけを使用,CONFIRMED_V1,9
I010,お菓子の袋,お菓子の袋,容器包装,プラマーク／汚れ,EMPTY_CLEAN_ONLY,内容物を除き清潔な物だけを使用,CONFIRMED_V1,10
I011,レジ袋,レジ袋,容器包装,容器包装か製品プラか／汚れ,EMPTY_CLEAN_ONLY,清潔な物だけを使用,CONFIRMED_V1,11
I012,発泡スチロール,発泡スチロール,容器包装,色・用途／シール／汚れ,EMPTY_CLEAN_ONLY,食品残渣やテープを除いた清潔な物だけを使用,CONFIRMED_V1,12
I013,新聞,新聞,紙類,折込広告／濡れ・汚れ／結束,SAFE_REAL,濡れやカビのない物を使用,CONFIRMED_V1,13
I014,段ボール,段ボール,紙類,加工・汚れ／結束,SAFE_REAL,金具や鋭利な部分を除いた乾いた物を使用,CONFIRMED_V1,14
I015,雑誌,雑誌,紙類,付録・異物／結束,SAFE_REAL,汚れやカビのない物を使用,CONFIRMED_V1,15
I016,雑紙・菓子箱,紙の箱,紙類,禁忌紙／汚れ／まとめ方,SAFE_REAL,内容物を除いた乾いた物を使用,CONFIRMED_V1,16
I017,紙パック,牛乳パック,紙類,内側アルミ／洗う・開く・乾かす,EMPTY_CLEAN_ONLY,洗浄・乾燥し切り口を安全にした物だけを使用,CONFIRMED_V1,17
