municipality_id,municipality_name,lesson_mode,scoring_status,required_item_count,required_branch_count,review_source,image_mapping_source,note
M009,大江町,ONLINE_CLASS,APP_READY,40,41,data/research/app_readiness/m009_item_review.csv,data/app/item_image_mapping_pilot_top8.csv,40品目全条件枝COMPLETE。店頭回収・直接搬入は内部根拠に保持し、固定10は町の通常分別区分で採点。
M020,静岡市,ONLINE_CLASS,APP_READY,40,43,data/research/app_readiness/m020_item_review.csv,data/app/item_image_mapping_pilot_top8.csv,40品目全条件枝COMPLETE。固定10の分別正答は市内共通で、地区差は収集容器・回収場所としてエビデンス層に保持。
M094,広島市,ONLINE_CLASS,APP_READY,40,59,data/research/app_readiness/m094_item_review.csv,data/app/item_image_mapping_pilot_top8.csv,40品目全条件枝COMPLETEかつ画像固有mapping VERIFIEDの場合のみ自動正誤判定
M095,呉市,ONLINE_CLASS,APP_READY,40,56,data/research/app_readiness/m095_item_review.csv,data/app/item_image_mapping_pilot_top8.csv,40品目全条件枝COMPLETEかつ画像固有mapping VERIFIEDの場合のみ自動正誤判定
M097,三原市,ONLINE_CLASS,LESSON_READY_10,10,19,data/research/lesson_readiness/m097_item_review.csv,data/app/item_image_mapping_pilot_top8.csv,画像10品目の全条件枝COMPLETEかつ画像固有mapping VERIFIEDの場合のみ自動正誤判定。40品目APP_READYではない
M098,尾道市,ONLINE_CLASS,APP_READY,40,53,data/research/app_readiness/m098_item_review.csv,data/app/item_image_mapping_pilot_top8.csv,40品目canonicalはAPP_READY。固定10画像の正誤判定は既存LV-M098-01を使用し、6 district_scopeを1教材groupのまま維持する。
M099,福山市,ONLINE_CLASS,APP_READY,40,63,data/research/app_readiness/m099_item_review.csv,data/app/item_image_mapping_pilot_top8.csv,40品目canonicalはAPP_READY。固定10画像の正誤判定は既存3地域variantを使用し、municipality-wideの仮正答を作らない。
M104,東広島市,ONLINE_CLASS,APP_READY,40,63,data/research/app_readiness/m104_item_review.csv,data/app/item_image_mapping_pilot_top8.csv,40品目全条件枝COMPLETEかつ画像固有mapping VERIFIEDの場合のみ自動正誤判定
M105,廿日市市,ONLINE_CLASS,APP_READY,40,63,data/research/app_readiness/m105_item_review.csv,data/app/item_image_mapping_pilot_top8.csv,40品目全条件枝COMPLETE。授業画像は既存固定10品目を使用し、自動正誤判定は画像固有mapping VERIFIEDの場合のみ有効。
M106,安芸高田市,ONLINE_CLASS,LESSON_READY_10,10,18,data/research/lesson_readiness/m106_item_review.csv,data/app/item_image_mapping_pilot_top8.csv,画像10品目の全条件枝COMPLETE。I029は非通常収集categoryを保持し教材用SIMPLIFIED_ACTIONへ安全に投影。40品目APP_READYではない
M107,江田島市,ONLINE_CLASS,LESSON_READY_10,10,18,data/research/lesson_readiness/m107_item_review.csv,data/app/item_image_mapping_pilot_top8.csv,画像10品目の全条件枝COMPLETE。M107のI007のみ非通常収集categoryをSIMPLIFIED_ACTIONへ投影。40品目APP_READYではない
M108,府中町,ONLINE_CLASS,LESSON_READY_10,10,18,data/research/lesson_readiness/m108_item_review.csv,data/app/item_image_mapping_pilot_top8.csv,画像10品目の全条件枝COMPLETE。通常収集categoryへ安全に投影。40品目APP_READYではない
M109,海田町,ONLINE_CLASS,LESSON_READY_10,10,18,data/research/lesson_readiness/m109_item_review.csv,data/app/item_image_mapping_pilot_top8.csv,画像10品目の全条件枝COMPLETE。通常収集categoryへ安全に投影。40品目APP_READYではない
M110,熊野町,ONLINE_CLASS,LESSON_READY_10,10,18,data/research/lesson_readiness/m110_item_review.csv,data/app/item_image_mapping_pilot_top8.csv,画像10品目の全条件枝COMPLETE。I029のみ非通常収集categoryをSIMPLIFIED_ACTIONへ投影。40品目APP_READYではない
M111,坂町,ONLINE_CLASS,LESSON_READY_10,10,18,data/research/lesson_readiness/m111_item_review.csv,data/app/item_image_mapping_pilot_top8.csv,画像10品目の全条件枝COMPLETE。I029のみ非通常収集categoryをSIMPLIFIED_ACTIONへ投影。40品目APP_READYではない
M112,安芸太田町,ONLINE_CLASS,LESSON_READY_10,10,18,data/research/lesson_readiness/m112_item_review.csv,data/app/item_image_mapping_pilot_top8.csv,画像10品目の全条件枝COMPLETE。通常収集categoryへ安全に投影。40品目APP_READYではない
