municipality_id,都道府県,市町村,status,reason,deferred_date,decision_source
M065,島根県,知夫村,DEFERRED,公式一次資料本文の全区分確認が安定しないため一旦実装対象外。固定IDは保持し後日再開可能とする。,2026-08-19,USER_DECISION
M076,岡山県,備前市,DEFERRED,canonical 40品目はDEFERREDを維持。地区variant layerでfixed10のみLESSON_READY_10実装済み。,2026-08-28,LESSON_VARIANT_BOUNDARY
M086,岡山県,新庄村,DEFERRED,県の現行公式案内から村のごみ収集公式ページへの導線は確認できるが、村公式ページ本文の取得が安定せず住民向け全分別区分を一次資料で全件照合できない。固定IDを保持し後日再開する。,2026-08-19,OFFICIAL_SOURCE_BODY_UNAVAILABLE
M098,広島県,尾道市,DEFERRED,canonical 40品目はDEFERREDを維持。6 internal district scopesを1 learner groupに統合しfixed10のみLESSON_READY_10実装済み。,2026-08-28,LESSON_VARIANT_BOUNDARY
M099,広島県,福山市,DEFERRED,canonical 40品目はDEFERREDを維持。一般・内海町/沼隈町・走島町の3 learner groupsでfixed10のみLESSON_READY_10実装済み。,2026-08-28,LESSON_VARIANT_BOUNDARY
M100,広島県,府中市,DEFERRED,canonical 40品目はDEFERREDを維持。府中・上下の2 learner groupsでfixed10のみLESSON_READY_10実装済み。,2026-08-28,LESSON_VARIANT_BOUNDARY
M120,山口県,萩市,DEFERRED,canonical 40品目はDEFERREDを維持。本土側fixed10のみLESSON_READY_10実装済み。島しょ部は今回の教材対象外。,2026-08-28,LESSON_VARIANT_BOUNDARY
M123,山口県,岩国市,DEFERRED,canonical 40品目はDEFERREDを維持。食品トレーの正答差を2 learner groupsでfixed10のみLESSON_READY_10実装済み。,2026-08-28,LESSON_VARIANT_BOUNDARY
M127,山口県,美祢市,DEFERRED,canonical 40品目はDEFERREDを維持。美祢・美東・秋芳の3 learner groupsでfixed10のみLESSON_READY_10実装済み。,2026-08-28,LESSON_VARIANT_BOUNDARY
M136,徳島県,吉野川市,DEFERRED,canonical 40品目はDEFERREDを維持。市共通1 learner groupでfixed10のみLESSON_READY_10実装済み。,2026-08-28,LESSON_VARIANT_BOUNDARY
M139,香川県,丸亀市,DEFERRED,canonical 40品目はDEFERREDを維持。主要分別体系を1 learner groupとしてfixed10のみLESSON_READY_10実装済み。,2026-08-28,LESSON_VARIANT_BOUNDARY
