internal_item_id,teaching_group_id,teaching_group_name,teaching_group_order,item_order,lesson_scope,notes
I001,TG01,PETボトル一式,1,1,STANDARD,本体・キャップ・ラベルを一連の分別判断として扱う
I002,TG01,PETボトル一式,1,2,STANDARD,本体・キャップ・ラベルを一連の分別判断として扱う
I003,TG01,PETボトル一式,1,3,STANDARD,本体・キャップ・ラベルを一連の分別判断として扱う
I004,TG02,缶・びん,2,1,STANDARD,自治体では缶とびんが別区分でも元mappingを優先する
I005,TG02,缶・びん,2,2,STANDARD,自治体では缶とびんが別区分でも元mappingを優先する
I006,TG02,缶・びん,2,3,STANDARD,自治体では缶とびんが別区分でも元mappingを優先する
I007,TG03,プラスチック容器包装,3,1,STANDARD,汚れや材質による条件分岐は元mappingに保持する
I008,TG03,プラスチック容器包装,3,2,STANDARD,汚れや材質による条件分岐は元mappingに保持する
I009,TG03,プラスチック容器包装,3,3,STANDARD,汚れや材質による条件分岐は元mappingに保持する
I010,TG03,プラスチック容器包装,3,4,STANDARD,汚れや材質による条件分岐は元mappingに保持する
I011,TG03,プラスチック容器包装,3,5,STANDARD,汚れや材質による条件分岐は元mappingに保持する
I012,TG03,プラスチック容器包装,3,6,STANDARD,汚れや材質による条件分岐は元mappingに保持する
I013,TG04,紙類,4,1,STANDARD,新聞・段ボール等の自治体別区分差は元mappingを優先する
I014,TG04,紙類,4,2,STANDARD,新聞・段ボール等の自治体別区分差は元mappingを優先する
I015,TG04,紙類,4,3,STANDARD,新聞・段ボール等の自治体別区分差は元mappingを優先する
I016,TG04,紙類,4,4,STANDARD,新聞・段ボール等の自治体別区分差は元mappingを優先する
I017,TG04,紙類,4,5,STANDARD,紙パック固有の洗浄・展開条件は元mappingに保持する
I018,TG05,可燃ごみ系,5,1,STANDARD,生ごみを独立した画面ボックスにはしない
I019,TG05,可燃ごみ系,5,2,STANDARD,ティッシュを独立した画面ボックスにはしない
I020,TG05,可燃ごみ系,5,3,STANDARD,おむつを独立した画面ボックスにはしない
I021,TG06,衣類,6,1,STANDARD,資源回収・可燃等の自治体差は元mappingを優先する
I022,TG07,不燃系生活用品,7,1,CONDITIONAL,長さや指定袋条件で粗大等へ変わる場合がある
I023,TG07,不燃系生活用品,7,2,STANDARD,割れた物はI025と分けて扱う
I024,TG07,不燃系生活用品,7,3,STANDARD,びんI006とは別品目として元mappingを保持する
I025,TG08,危険・鋭利物,8,1,STANDARD,包み方・表示等の前処理を元mappingで確認する
I026,TG08,危険・鋭利物,8,2,STANDARD,刃の保護・表示等の前処理を元mappingで確認する
I027,TG09,電池類,9,1,STANDARD,自治体の独立区分・拠点回収等を元mappingで判断する
I028,TG09,電池類,9,2,CONDITIONAL,店頭回収等で通常SORT_BUCKET外となる場合がある
I029,TG09,電池類,9,3,CONDITIONAL,拠点・販売店回収等で通常SORT_BUCKET外となる場合がある
I030,TG10,照明類,10,1,STANDARD,蛍光管と電球の扱いの差は元mappingを優先する
I031,TG10,照明類,10,2,CONDITIONAL,LED・蛍光型等の条件差は元mappingを優先する
I032,TG11,発火・加圧危険物,11,1,STANDARD,穴あけ有無など自治体固有ルールを元mappingで確認する
I033,TG11,発火・加圧危険物,11,2,STANDARD,燃料を使い切る等の条件を元mappingで確認する
I034,TG12,小型家電,12,1,CONDITIONAL,回収ボックス等で通常SORT_BUCKET外となる場合がある
I035,TG12,小型家電,12,2,CONDITIONAL,内蔵充電池の扱いを元mappingで確認する
I036,TG13,サイズ条件品,13,1,CONDITIONAL,指定袋に入るか等で可燃・粗大等へ分岐する
I037,TG14,自治体通常収集外,14,1,ADVANCED_EXTERNAL_ROUTE,家電リサイクル法等の別ルートを扱う発展問題向け
I038,TG14,自治体通常収集外,14,2,ADVANCED_EXTERNAL_ROUTE,メーカー回収等の別ルートを扱う発展問題向け
I039,TG15,特殊回収品,15,1,CONDITIONAL,拠点回収・固化等の自治体差を元mappingで確認する
I040,TG13,サイズ条件品,13,2,CONDITIONAL,太さ・長さ等で可燃・資源化・搬入等へ分岐する
